127.0.0.1 - - [30/Mar/2023:19:38:55 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:38:55 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:38:55 -0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:38:57 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:39:00 -0700] "GET /HW_2/NewVaccine HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:39:05 -0700] "POST /HW_2/NewVaccine HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:39:05 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:39:07 -0700] "GET /HW_2/NewDoses HTTP/1.1" 200 1604
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:39:09 -0700] "POST /HW_2/NewDoses HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:39:09 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:39:14 -0700] "GET /HW_2/NewVaccine HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:39:24 -0700] "POST /HW_2/NewVaccine HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:39:24 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:40:04 -0700] "GET /HW_2/NewVaccine HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:40:15 -0700] "POST /HW_2/NewVaccine HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:40:15 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 3049
