127.0.0.1 - - [14/Apr/2023:09:11:19 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:11:21 -0700] "GET /HW_2/WEB-INF/ListPatients.jsp HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:11:34 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:11:44 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:11:44 -0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:11:47 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:11:49 -0700] "GET /HW_2/NewVaccine HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:01 -0700] "POST /HW_2/NewVaccine HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:01 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:06 -0700] "GET /HW_2/NewDoses HTTP/1.1" 200 1594
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:10 -0700] "GET /HW_2/NewVaccine HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:26 -0700] "GET /HW_2/NewDoses HTTP/1.1" 200 1594
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:33 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:36 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:37 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:40 -0700] "GET /HW_2/NewPatient HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:44 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:45 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:46 -0700] "GET /HW_2/NewDoses HTTP/1.1" 200 1594
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:50 -0700] "POST /HW_2/NewDoses HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:50 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:51 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:52 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:53 -0700] "GET /HW_2/NewPatient HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:57 -0700] "POST /HW_2/NewPatient HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:12:57 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 1888
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:13:00 -0700] "GET /HW_2/NewPatient HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:13:04 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:13:05 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 1888
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:13:08 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:13:08 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:13:11 -0700] "GET /HW_2/NewDoses HTTP/1.1" 200 1594
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:13:12 -0700] "POST /HW_2/NewDoses HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:13:12 -0700] "GET /HW_2/ListVaccines HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:13:13 -0700] "GET /HW_2/ManagementChoice HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:13:15 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:13:17 -0700] "GET /HW_2/ReceiveSecondDose?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:09:13:17 -0700] "GET /HW_2/ListPatients HTTP/1.1" 200 1884
